urn:epc:id:gtin:04260556635491,gtin,,,GS1 Germany,candidate,WEB
urn:epc:id:gtin:04260556631356,gtin,,,GS1 Germany,candidate,WEB
urn:epc:id:gtin:00041271027730,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00853330007313,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00813636021703,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00012000192869,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00813636020652,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00076840000760,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00096619226504,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00012000192906,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:03770025630090,gtin,,,GS1 France,candidate,WEB
urn:epc:id:gtin:00098100100348,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:04901201156731,gtin,,,GS1 Japan,candidate,WEB
urn:epc:id:gtin:04260556635378,gtin,,,GS1 Germany,candidate,WEB
urn:epc:id:gtin:00041271027747,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00813636020645,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:04260556631172,gtin,,,GS1 Germany,candidate,WEB
urn:epc:id:gtin:00762111380159,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00036632078070,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00036632079251,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00604913002160,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00881334016499,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00854092006149,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:04061462201028,gtin,,,GS1 Germany,candidate,WEB
urn:epc:id:gtin:00852909003534,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00852909003541,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00854560005049,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00813314016076,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00864421000359,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00893723002839,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00859563006062,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00604913002153,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00855186006878,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00762111380135,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00036632072962,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00000042414025,gtin,,,reserved/unassigned,candidate,WEB
urn:epc:id:gtin:00077890464212,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00000000626118,gtin,,,reserved/unassigned,candidate,WEB
urn:epc:id:gtin:00096619227006,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00000000507592,gtin,,,reserved/unassigned,candidate,WEB
urn:epc:id:gtin:00000000569521,gtin,,,reserved/unassigned,candidate,WEB
urn:epc:id:gtin:00011225007385,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00544074006211,gtin,,,GS1 US (reserved),candidate,WEB
urn:epc:id:gtin:00041220963454,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00000029320653,gtin,,,reserved/unassigned,candidate,WEB
urn:epc:id:gtin:00762111525499,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00000029359745,gtin,,,reserved/unassigned,candidate,WEB
urn:epc:id:gtin:00036632076182,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00852909003497,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00762111561589,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:05999571050079,gtin,,,GS1 Hungary,candidate,WEB
urn:epc:id:gtin:00868235000444,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00000000792073,gtin,,,reserved/unassigned,candidate,WEB
urn:epc:id:gtin:00000000791731,gtin,,,reserved/unassigned,candidate,WEB
urn:epc:id:gtin:09276095635491,gtin,,,reserved/unassigned,candidate,WEB
urn:epc:id:gtin:00810083070810,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00196761497804,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00036632079671,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00854092006972,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00813636024186,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00036632080653,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:05059697690648,gtin,,,GS1 UK,candidate,WEB
urn:epc:id:gtin:00071142000555,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00036632080646,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00850205006716,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:04973450168612,gtin,,,GS1 Japan,candidate,WEB
urn:epc:id:gtin:00077890482995,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00033372078070,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00850046990038,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00850038442095,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00030034096663,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00030034096687,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00030034096694,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00034538835438,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00034538837654,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00034538855436,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00034538857652,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00041820812114,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00041820812138,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00041820812787,gtin,,,GS1 US,candidate,WEB
urn:epc:id:gtin:00071452500004,gtin,,,GS1 US,candidate,WEB
